CustomerName,CustomerID,Segment,City,State,Region,Country,PostalCode,OrderID,OrderDate,ShipDate,ShipMode,Sales,Discount,Profit,Quantity,ProductName,Category,SubCategory
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"1706,184","0,2","85,3092",9,Chromcraft Rectangular Conference Tables,Furniture,Tables
Brosina Hoffman,BH-11710,Consumer,Los Angeles,California,West,United States,90032,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,"911,424","0,2","68,3568",4,Konftel 250 Conference phone - Charcoal black,Technology,Phones
Andrew Allen,AA-10480,Consumer,Concord,North Carolina,South,United States,28027,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,"15,552","0,2","5,4432",3,Xerox 1967,Office Supplies,Paper
Irene Maddox,IM-15070,Consumer,Seattle,Washington,West,United States,98103,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,"407,976","0,2","132,5922",3,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
Harold Pawlan,HP-14815,Home Office,Fort Worth,Texas,Central,United States,76106,US-2015-118983,2015-11-22,2015-11-26,Standard Class,"68,81","0,8","-123,858",5,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
Harold Pawlan,HP-14815,Home Office,Fort Worth,Texas,Central,United States,76106,US-2015-118983,2015-11-22,2015-11-26,Standard Class,"2,544","0,8","-3,816",3,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
Pete Kriz,PK-19075,Consumer,Madison,Wisconsin,Central,United States,53711,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,"665,88","0,0","13,3176",6,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
Alejandro Grove,AG-10270,Consumer,West Jordan,Utah,West,United States,84084,CA-2014-167164,2014-05-13,2014-05-15,Second Class,"55,5","0,0","9,99",2,Fellowes Super Stor/Drawer,Office Supplies,Storage
Zuschuss Donatelli,ZD-21925,Consumer,San Francisco,California,West,United States,94109,CA-2014-143336,2014-08-27,2014-09-01,Second Class,"8,56","0,0","2,4824",2,Newell 341,Office Supplies,Art
Zuschuss Donatelli,ZD-21925,Consumer,San Francisco,California,West,United States,94109,CA-2014-143336,2014-08-27,2014-09-01,Second Class,"213,48","0,2","16,011",3,Cisco SPA 501G IP Phone,Technology,Phones
Zuschuss Donatelli,ZD-21925,Consumer,San Francisco,California,West,United States,94109,CA-2014-143336,2014-08-27,2014-09-01,Second Class,"22,72","0,2","7,384",4,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
Ken Black,KB-16585,Corporate,Fremont,Nebraska,Central,United States,68025,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,"19,46","0,0","5,0596",7,Newell 318,Office Supplies,Art
Ken Black,KB-16585,Corporate,Fremont,Nebraska,Central,United States,68025,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,"60,34","0,0","15,6884",7,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
Sandra Flanagan,SF-20065,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2017-156909,2017-07-16,2017-07-18,Second Class,"71,372","0,3","-1,0196",2,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
Emily Burns,EB-13870,Consumer,Orem,Utah,West,United States,84057,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,"1044,63","0,0","240,2649",3,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
Eric Hoffmann,EH-13945,Consumer,Los Angeles,California,West,United States,90049,CA-2016-121755,2016-01-16,2016-01-20,Second Class,"11,648","0,2","4,2224",2,Wilson Jones Active Use Binders,Office Supplies,Binders
Eric Hoffmann,EH-13945,Consumer,Los Angeles,California,West,United States,90049,CA-2016-121755,2016-01-16,2016-01-20,Second Class,"90,57","0,0","11,7741",3,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"3083,43","0,5","-1665,0522",7,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"9,618","0,7","-7,0532",2,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"124,2","0,2","15,525",3,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"3,264","0,2","1,1016",2,Poly String Tie Envelopes,Office Supplies,Envelopes
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"86,304","0,2","9,7092",6,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"6,858","0,7","-5,715",6,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders
Tracy Blumstein,TB-21520,Consumer,Philadelphia,Pennsylvania,East,United States,19140,US-2015-150630,2015-09-17,2015-09-21,Standard Class,"15,76","0,2","3,546",2,Lumber Crayons,Office Supplies,Art
Matt Abelman,MA-17560,Home Office,Houston,Texas,Central,United States,77095,CA-2017-107727,2017-10-19,2017-10-23,Second Class,"29,472","0,2","9,9468",3,Easy-staple paper,Office Supplies,Paper
Gene Hale,GH-14485,Corporate,Richardson,Texas,Central,United States,75080,CA-2016-117590,2016-12-08,2016-12-10,First Class,"1097,544","0,2","123,4737",7,GE 30524EE4,Technology,Phones
Gene Hale,GH-14485,Corporate,Richardson,Texas,Central,United States,75080,CA-2016-117590,2016-12-08,2016-12-10,First Class,"190,92","0,6","-147,963",5,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings
Steve Nguyen,SN-20710,Home Office,Houston,Texas,Central,United States,77041,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,"113,328","0,2","35,415",9,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes
Steve Nguyen,SN-20710,Home Office,Houston,Texas,Central,United States,77041,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,"532,3992","0,32","-46,9764",3,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
Steve Nguyen,SN-20710,Home Office,Houston,Texas,Central,United States,77041,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,"212,058","0,3","-15,147",3,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs
Steve Nguyen,SN-20710,Home Office,Houston,Texas,Central,United States,77041,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,"371,168","0,2","41,7564",4,Plantronics HL10 Handset Lifter,Technology,Phones
Linda Cazamias,LC-16930,Corporate,Naperville,Illinois,Central,United States,60540,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,"147,168","0,2","16,5564",4,Panasonic Kx-TS550,Technology,Phones
Ruben Ausman,RA-19885,Corporate,Los Angeles,California,West,United States,90049,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,"77,88","0,0","3,894",2,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
Erin Smith,ES-14080,Corporate,Melbourne,Florida,South,United States,32935,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,"95,616","0,2","9,5616",2,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage
Odella Nelson,ON-18715,Corporate,Eagan,Minnesota,Central,United States,55122,CA-2016-118255,2016-03-11,2016-03-13,First Class,"45,98","0,0","19,7714",2,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories
Odella Nelson,ON-18715,Corporate,Eagan,Minnesota,Central,United States,55122,CA-2016-118255,2016-03-11,2016-03-13,First Class,"17,46","0,0","8,2062",2,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
Patrick O'Donnell,PO-18865,Consumer,Westland,Michigan,Central,United States,48185,CA-2014-146703,2014-10-20,2014-10-25,Second Class,"211,96","0,0","8,4784",4,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage
Lena Hernandez,LH-16900,Consumer,Dover,Delaware,East,United States,19901,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,"45,0","0,0","4,95",3,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories
Lena Hernandez,LH-16900,Consumer,Dover,Delaware,East,United States,19901,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,"21,8","0,0","6,104",2,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones
Darren Powers,DP-13000,Consumer,New Albany,Indiana,Central,United States,47150,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,"38,22","0,0","17,9634",6,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders
Darren Powers,DP-13000,Consumer,New Albany,Indiana,Central,United States,47150,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,"75,18","0,0","35,3346",6,Avery 485,Office Supplies,Labels
Darren Powers,DP-13000,Consumer,New Albany,Indiana,Central,United States,47150,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,"6,16","0,0","2,9568",2,Longer-Life Soft White Bulbs,Furniture,Furnishings
Darren Powers,DP-13000,Consumer,New Albany,Indiana,Central,United States,47150,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,"89,99","0,0","17,0981",1,"Global Leather Task Chair, Black",Furniture,Chairs
Janet Molinari,JM-15265,Corporate,New York City,New York,East,United States,10024,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,"15,26","0,0","6,2566",7,Advantus Push Pins,Office Supplies,Fasteners
Janet Molinari,JM-15265,Corporate,New York City,New York,East,United States,10024,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,"1029,95","0,0","298,6855",5,AT&T CL83451 4-Handset Telephone,Technology,Phones
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"208,56","0,0","52,14",6,Home/Office Personal File Carts,Office Supplies,Storage
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"32,4","0,0","15,552",5,Xerox 232,Office Supplies,Paper
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"319,41","0,1","7,098",5,Novimex Turbo Task Chair,Furniture,Chairs
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"14,56","0,0","6,9888",2,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"30,0","0,0","3,3",2,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"48,48","0,2","16,362",4,Plastic Binding Combs,Office Supplies,Binders
Ted Butterfield,TB-21055,Consumer,Troy,New York,East,United States,12180,CA-2016-111682,2016-06-17,2016-06-18,First Class,"1,68","0,0","0,84",1,Prang Dustless Chalk Sticks,Office Supplies,Art
Kunst Miller,KM-16720,Consumer,Los Angeles,California,West,United States,90004,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,"13,98","0,0","6,1512",2,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories
Kunst Miller,KM-16720,Consumer,Los Angeles,California,West,United States,90004,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,"25,824","0,2","9,3612",6,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders
Kunst Miller,KM-16720,Consumer,Los Angeles,California,West,United States,90004,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,"146,73","0,0","68,9631",3,Xerox 1943,Office Supplies,Paper
Kunst Miller,KM-16720,Consumer,Los Angeles,California,West,United States,90004,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,"79,76","0,0","22,3328",4,Luxo Economy Swing Arm Lamp,Furniture,Furnishings
Paul Stevenson,PS-18970,Home Office,Chicago,Illinois,Central,United States,60610,US-2015-164175,2015-04-30,2015-05-05,Standard Class,"213,115","0,3","-15,2225",5,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs
Brendan Sweed,BS-11590,Corporate,Gilbert,Arizona,West,United States,85234,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,"1113,024","0,2","111,3024",8,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art
Brendan Sweed,BS-11590,Corporate,Gilbert,Arizona,West,United States,85234,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,"167,968","0,2","62,988",4,netTALK DUO VoIP Telephone Service,Technology,Phones
Karen Daniels,KD-16270,Consumer,Springfield,Virginia,South,United States,22153,CA-2016-119823,2016-06-04,2016-06-06,First Class,"75,88","0,0","35,6636",2,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper
Henry MacAllister,HM-14980,Consumer,New York City,New York,East,United States,10009,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,"4,616","0,2","1,731",1,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders
Tracy Blumstein,TB-21520,Consumer,Jackson,Michigan,Central,United States,49201,CA-2017-114440,2017-09-14,2017-09-17,Second Class,"19,05","0,0","8,763",3,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper
Joel Eaton,JE-15745,Consumer,Memphis,Tennessee,South,United States,38109,US-2015-134026,2015-04-26,2015-05-02,Standard Class,"831,936","0,2","-114,3912",8,High-Back Leather Manager's Chair,Furniture,Chairs
Joel Eaton,JE-15745,Consumer,Memphis,Tennessee,South,United States,38109,US-2015-134026,2015-04-26,2015-05-02,Standard Class,"97,04","0,2","1,213",2,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings
Joel Eaton,JE-15745,Consumer,Memphis,Tennessee,South,United States,38109,US-2015-134026,2015-04-26,2015-05-02,Standard Class,"72,784","0,2","-18,196",1,Safco Industrial Wire Shelving System,Office Supplies,Storage
Ken Brennan,KB-16600,Corporate,Houston,Texas,Central,United States,77041,US-2017-118038,2017-12-09,2017-12-11,First Class,"1,248","0,8","-1,9344",3,Economy Binders,Office Supplies,Binders
Ken Brennan,KB-16600,Corporate,Houston,Texas,Central,United States,77041,US-2017-118038,2017-12-09,2017-12-11,First Class,"9,708","0,6","-5,8248",3,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings
Ken Brennan,KB-16600,Corporate,Houston,Texas,Central,United States,77041,US-2017-118038,2017-12-09,2017-12-11,First Class,"27,24","0,2","2,724",3,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage
Joel Eaton,JE-15745,Consumer,Houston,Texas,Central,United States,77070,US-2014-147606,2014-11-26,2014-12-01,Second Class,"19,3","0,6","-14,475",5,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
Stewart Carmichael,SC-20770,Corporate,Decatur,Alabama,South,United States,35601,CA-2016-127208,2016-06-12,2016-06-15,First Class,"208,16","0,0","56,2032",1,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances
Stewart Carmichael,SC-20770,Corporate,Decatur,Alabama,South,United States,35601,CA-2016-127208,2016-06-12,2016-06-15,First Class,"16,74","0,0","8,0352",3,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders
Duane Noonan,DN-13690,Consumer,San Francisco,California,West,United States,94122,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,"14,9","0,0","4,172",5,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art
Duane Noonan,DN-13690,Consumer,San Francisco,California,West,United States,94122,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,"21,39","0,0","6,2031",1,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage
Julie Creighton,JC-16105,Corporate,Durham,North Carolina,South,United States,27707,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,"200,984","0,2","62,8075",7,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes
Christopher Schild,CS-12400,Home Office,Chicago,Illinois,Central,United States,60623,US-2017-119662,2017-11-13,2017-11-16,First Class,"230,376","0,2","-48,9549",3,Safco Industrial Wire Shelving,Office Supplies,Storage
Patrick O'Donnell,PO-18865,Consumer,Columbia,South Carolina,South,United States,29203,CA-2017-140088,2017-05-28,2017-05-30,Second Class,"301,96","0,0","33,2156",2,Novimex Swivel Fabric Task Chair,Furniture,Chairs
Paul Gonzalez,PG-18895,Consumer,Rochester,Minnesota,Central,United States,55901,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,"19,99","0,0","6,7966",1,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories
Paul Gonzalez,PG-18895,Consumer,Rochester,Minnesota,Central,United States,55901,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,"6,16","0,0","2,9568",2,Avery 511,Office Supplies,Labels
Gary Mitchum,GM-14455,Home Office,Houston,Texas,Central,United States,77095,CA-2016-159695,2016-04-05,2016-04-10,Second Class,"158,368","0,2","13,8572",7,Eldon Portable Mobile Manager,Office Supplies,Storage
Jim Sink,JS-15685,Corporate,Los Angeles,California,West,United States,90036,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,"20,1","0,0","6,633",3,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art
Jim Sink,JS-15685,Corporate,Los Angeles,California,West,United States,90036,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,"73,584","0,2","8,2782",2,Panasonic Kx-TS550,Technology,Phones
Jim Sink,JS-15685,Corporate,Los Angeles,California,West,United States,90036,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,"6,48","0,0","3,1104",1,Xerox 1995,Office Supplies,Paper
Karl Braun,KB-16315,Consumer,Minneapolis,Minnesota,Central,United States,55407,CA-2015-149587,2015-01-31,2015-02-05,Second Class,"12,96","0,0","6,2208",2,Xerox 1999,Office Supplies,Paper
Karl Braun,KB-16315,Consumer,Minneapolis,Minnesota,Central,United States,55407,CA-2015-149587,2015-01-31,2015-02-05,Second Class,"53,34","0,0","16,5354",3,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings
Karl Braun,KB-16315,Consumer,Minneapolis,Minnesota,Central,United States,55407,CA-2015-149587,2015-01-31,2015-02-05,Second Class,"32,96","0,0","16,1504",2,Ibico Standard Transparent Covers,Office Supplies,Binders
Roger Barcio,RB-19705,Home Office,Portland,Oregon,West,United States,97206,US-2017-109484,2017-11-06,2017-11-12,Standard Class,"5,682","0,7","-3,788",1,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders
Parhena Norris,PN-18775,Home Office,New York City,New York,East,United States,10009,CA-2017-161018,2017-11-09,2017-11-11,Second Class,"96,53","0,0","40,5426",7,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings
Katherine Ducich,KD-16345,Consumer,San Francisco,California,West,United States,94122,CA-2017-157833,2017-06-17,2017-06-20,First Class,"51,312","0,2","17,9592",3,Trimflex Flexible Post Binders,Office Supplies,Binders
Elpida Rittenbach,ER-13855,Corporate,Saint Paul,Minnesota,Central,United States,55106,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,"77,88","0,0","22,5852",6,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances
Rick Bensley,RB-19465,Home Office,Chicago,Illinois,Central,United States,60610,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,"64,624","0,2","22,6184",7,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper
Rick Bensley,RB-19465,Home Office,Chicago,Illinois,Central,United States,60610,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,"95,976","0,2","-10,7973",3,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
Rick Bensley,RB-19465,Home Office,Chicago,Illinois,Central,United States,60610,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,"1,788","0,8","-3,0396",3,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders
Gary Zandusky,GZ-14470,Consumer,Rochester,Minnesota,Central,United States,55901,CA-2016-129903,2016-12-01,2016-12-04,Second Class,"23,92","0,0","11,7208",4,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper
Lena Cacioppo,LC-16870,Consumer,Aurora,Colorado,West,United States,80013,US-2015-156867,2015-11-13,2015-11-17,Standard Class,"238,896","0,2","-26,8758",6,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories
Lena Cacioppo,LC-16870,Consumer,Aurora,Colorado,West,United States,80013,US-2015-156867,2015-11-13,2015-11-17,Standard Class,"102,36","0,2","-3,8385",3,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings
Lena Cacioppo,LC-16870,Consumer,Aurora,Colorado,West,United States,80013,US-2015-156867,2015-11-13,2015-11-17,Standard Class,"36,882","0,7","-25,8174",3,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders
Janet Martin,JM-15250,Consumer,Charlotte,North Carolina,South,United States,28205,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,"74,112","0,2","17,6016",8,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories
Janet Martin,JM-15250,Consumer,Charlotte,North Carolina,South,United States,28205,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,"27,992","0,2","2,0994",1,Speck Products Candyshell Flip Case,Technology,Phones
Janet Martin,JM-15250,Consumer,Charlotte,North Carolina,South,United States,28205,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,"3,304","0,2","1,0738",1,Newell Chalk Holder,Office Supplies,Art
Pete Armstrong,PA-19060,Home Office,Orland Park,Illinois,Central,United States,60462,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,"339,96","0,2","67,992",5,Logitech Gaming G510s - Keyboard,Technology,Accessories
Cynthia Voltz,CV-12805,Corporate,New York City,New York,East,United States,10035,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,"41,96","0,0","10,9096",2,Magnifier Swing Arm Lamp,Furniture,Furnishings
Clay Ludtke,CL-12565,Consumer,Urbandale,Iowa,Central,United States,50322,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,"75,96","0,0","22,788",2,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art
Clay Ludtke,CL-12565,Consumer,Urbandale,Iowa,Central,United States,50322,CA-2016-128867,2016-11-03,2016-11-10,Standard Class,"27,24","0,0","13,3476",6,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders
Ryan Crowe,RC-19960,Consumer,Columbus,Ohio,East,United States,43229,CA-2014-115259,2014-08-25,2014-08-27,Second Class,"40,096","0,2","14,5348",14,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners
Ryan Crowe,RC-19960,Consumer,Columbus,Ohio,East,United States,43229,CA-2014-115259,2014-08-25,2014-08-27,Second Class,"4,72","0,2","1,652",2,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes
Ryan Crowe,RC-19960,Consumer,Columbus,Ohio,East,United States,43229,CA-2014-115259,2014-08-25,2014-08-27,Second Class,"23,976","0,2","7,4925",3,Xerox 1921,Office Supplies,Paper
Ryan Crowe,RC-19960,Consumer,Columbus,Ohio,East,United States,43229,CA-2014-115259,2014-08-25,2014-08-27,Second Class,"130,464","0,2","44,0316",6,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
Dave Kipp,DK-13090,Consumer,Seattle,Washington,West,United States,98103,CA-2015-110457,2015-03-02,2015-03-06,Standard Class,"787,53","0,0","165,3813",3,Hon Racetrack Conference Tables,Furniture,Tables
Greg Guthrie,GG-14650,Corporate,Bristol,Tennessee,South,United States,37620,US-2015-136476,2015-04-05,2015-04-10,Standard Class,"157,794","0,7","-115,7156",1,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders
